neighbourhood_cleansed,month,avg_monthly_price,listing_count
East Flatbush,1,3533.19,317.0
East Flatbush,2,3514.57,335.0
East Flatbush,3,3507.04,304.0
East Flatbush,4,3394.0,390.0
East Flatbush,5,3375.37,363.0
East Flatbush,6,3416.22,357.0
East Flatbush,7,3453.04,326.0
East Flatbush,8,3504.62,340.0
East Flatbush,9,3185.14,315.0
East Flatbush,10,3456.19,320.0
East Flatbush,11,3081.65,291.0
East Flatbush,12,3420.19,323.0
East Harlem,1,3780.49,369.0
East Harlem,2,3923.14,376.0
East Harlem,3,4131.86,361.0
East Harlem,4,4114.59,386.0
East Harlem,5,4059.02,376.0
East Harlem,6,4247.49,362.0
